secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
102456,2018/04/02,122,90,0.258828,196.4621,41.48846,0.015658,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-90,0.162617,273.5228,37.51963,0.012488,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-85,0.161278,265.9323,30.69005,0.009265,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-80,0.16236,260.5819,26.18542,0.00716,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-75,0.165927,256.4139,22.99195,0.007161,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-70,0.170904,252.7719,20.47674,0.007784,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-65,0.176522,249.3255,18.323,0.008263,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-60,0.182483,245.9182,16.39139,0.008702,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-55,0.18879,242.4618,14.62114,0.009227,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-50,0.195437,238.882,12.97047,0.009722,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-45,0.202367,235.1094,11.40749,0.010274,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-40,0.209779,231.0719,9.923828,0.011165,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-35,0.218032,226.6675,8.516813,0.01252,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-30,0.22742,221.751,7.175429,0.014436,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-25,0.238407,216.1049,5.890832,0.017684,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-20,0.252063,209.3458,4.661286,0.023921,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-15,0.269766,200.8074,3.472974,0.033743,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,-10,0.291412,189.4757,2.286093,0.044614,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,10,0.146515,268.2314,1.019937,0.005457,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,15,0.150206,262.7753,1.709732,0.006496,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,20,0.154946,258.5824,2.524828,0.007273,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,25,0.160258,254.9529,3.475545,0.007717,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,30,0.165861,251.5746,4.572811,0.008032,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,35,0.171705,248.2936,5.832596,0.008384,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,152,40,0.177814,245.013,7.276395,0.008774,C,12486C10,DJX,9999,1,32768,,A,
