PERMNO,date,TICKER,PRC
26403,2019/06/10,DIS,137.07001
26403,2019/06/11,DIS,135.08000
26403,2019/06/12,DIS,135.72000
26403,2019/06/13,DIS,141.74001
26403,2019/06/14,DIS,141.64999
26403,2019/06/17,DIS,140.97000
26403,2019/06/18,DIS,139.24001
26403,2019/06/19,DIS,140.92000
26403,2019/06/20,DIS,142.02000
26403,2019/06/21,DIS,140.23000
26403,2019/06/24,DIS,139.22000
26403,2019/06/25,DIS,139.94000
26403,2019/06/26,DIS,140.39999
26403,2019/06/27,DIS,139.30000
26403,2019/06/28,DIS,139.64000
43449,2019/04/01,MCD,188.39000
43449,2019/04/02,MCD,188.35001
43449,2019/04/03,MCD,188.35001
43449,2019/04/04,MCD,189.87000
43449,2019/04/05,MCD,190.71001
43449,2019/04/08,MCD,189.85001
43449,2019/04/09,MCD,190.08000
43449,2019/04/10,MCD,189.22000
43449,2019/04/11,MCD,188.88000
43449,2019/04/12,MCD,191.60001
43449,2019/04/15,MCD,191.85001
43449,2019/04/16,MCD,191.70000
43449,2019/04/17,MCD,191.61000
43449,2019/04/18,MCD,194.91000
43449,2019/04/22,MCD,193.92000
43449,2019/04/23,MCD,195.25999
43449,2019/04/24,MCD,197.63000
43449,2019/04/25,MCD,197.92999
43449,2019/04/26,MCD,197.42000
43449,2019/04/29,MCD,197.12000
43449,2019/04/30,MCD,197.57001
43449,2019/05/01,MCD,194.17000
43449,2019/05/02,MCD,194.61000
43449,2019/05/03,MCD,197.52000
43449,2019/05/06,MCD,198.89999
43449,2019/05/07,MCD,198.03999
43449,2019/05/08,MCD,198.03000
43449,2019/05/09,MCD,197.73000
43449,2019/05/10,MCD,199.99001
43449,2019/05/13,MCD,199.03000
43449,2019/05/14,MCD,198.00999
43449,2019/05/15,MCD,199.07001
43449,2019/05/16,MCD,199.99001
43449,2019/05/17,MCD,199.22000
43449,2019/05/20,MCD,198.99001
43449,2019/05/21,MCD,199.84000
43449,2019/05/22,MCD,199.96001
43449,2019/05/23,MCD,198.97000
43449,2019/05/24,MCD,197.77000
43449,2019/05/28,MCD,196.67000
43449,2019/05/29,MCD,196.02000
43449,2019/05/30,MCD,199.24001
43449,2019/05/31,MCD,198.27000
43449,2019/06/03,MCD,198.78000
43449,2019/06/04,MCD,199.63000
43449,2019/06/05,MCD,200.13000
43449,2019/06/06,MCD,203.05000
43449,2019/06/07,MCD,205.48000
43449,2019/06/10,MCD,201.30000
43449,2019/06/11,MCD,203.25999
43449,2019/06/12,MCD,204.92999
43449,2019/06/13,MCD,204.49001
43449,2019/06/14,MCD,205.28999
43449,2019/06/17,MCD,203.81000
43449,2019/06/18,MCD,204.50999
43449,2019/06/19,MCD,204.55000
43449,2019/06/20,MCD,205.12000
43449,2019/06/21,MCD,204.25999
43449,2019/06/24,MCD,203.92000
43449,2019/06/25,MCD,205.71001
43449,2019/06/26,MCD,204.55000
43449,2019/06/27,MCD,206.27000
43449,2019/06/28,MCD,207.66000
47896,2019/04/01,JPM,104.64000
47896,2019/04/02,JPM,105.14000
47896,2019/04/03,JPM,105.35000
47896,2019/04/04,JPM,105.56000
47896,2019/04/05,JPM,105.31000
47896,2019/04/08,JPM,105.65000
47896,2019/04/09,JPM,104.87000
47896,2019/04/10,JPM,105.34000
47896,2019/04/11,JPM,106.23000
47896,2019/04/12,JPM,111.21000
47896,2019/04/15,JPM,109.94000
47896,2019/04/16,JPM,111.10000
47896,2019/04/17,JPM,114.30000
47896,2019/04/18,JPM,113.46000
47896,2019/04/22,JPM,113.60000
47896,2019/04/23,JPM,113.74000
47896,2019/04/24,JPM,113.55000
47896,2019/04/25,JPM,113.61000
47896,2019/04/26,JPM,114.47000
47896,2019/04/29,JPM,116.12000
47896,2019/04/30,JPM,116.05000
47896,2019/05/01,JPM,115.16000
47896,2019/05/02,JPM,115.41000
47896,2019/05/03,JPM,116.12000
47896,2019/05/06,JPM,115.09000
47896,2019/05/07,JPM,113.21000
47896,2019/05/08,JPM,112.61000
47896,2019/05/09,JPM,112.52000
47896,2019/05/10,JPM,112.51000
47896,2019/05/13,JPM,109.45000
47896,2019/05/14,JPM,110.32000
47896,2019/05/15,JPM,109.90000
47896,2019/05/16,JPM,111.31000
47896,2019/05/17,JPM,110.77000
47896,2019/05/20,JPM,111.35000
47896,2019/05/21,JPM,111.73000
47896,2019/05/22,JPM,110.82000
47896,2019/05/23,JPM,108.64000
47896,2019/05/24,JPM,109.71000
47896,2019/05/28,JPM,108.52000
47896,2019/05/29,JPM,108.22000
47896,2019/05/30,JPM,107.06000
47896,2019/05/31,JPM,105.96000
47896,2019/06/03,JPM,106.46000
47896,2019/06/04,JPM,109.74000
47896,2019/06/05,JPM,110.13000
47896,2019/06/06,JPM,110.37000
47896,2019/06/07,JPM,109.16000
47896,2019/06/10,JPM,110.34000
47896,2019/06/11,JPM,110.68000
47896,2019/06/12,JPM,109.27000
47896,2019/06/13,JPM,109.54000
47896,2019/06/14,JPM,109.82000
47896,2019/06/17,JPM,109.22000
47896,2019/06/18,JPM,110.71000
47896,2019/06/19,JPM,109.91000
47896,2019/06/20,JPM,110.19000
47896,2019/06/21,JPM,109.44000
47896,2019/06/24,JPM,108.66000
47896,2019/06/25,JPM,107.76000
47896,2019/06/26,JPM,108.48000
47896,2019/06/27,JPM,108.84000
47896,2019/06/28,JPM,111.80000
55976,2019/04/01,WMT,97.82000
55976,2019/04/02,WMT,96.94000
55976,2019/04/03,WMT,97.19000
55976,2019/04/04,WMT,98.11000
55976,2019/04/05,WMT,98.83000
55976,2019/04/08,WMT,99.23000
55976,2019/04/09,WMT,98.69000
55976,2019/04/10,WMT,99.60000
55976,2019/04/11,WMT,100.80000
55976,2019/04/12,WMT,101.56000
55976,2019/04/15,WMT,102.43000
55976,2019/04/16,WMT,102.93000
55976,2019/04/17,WMT,103.16000
55976,2019/04/18,WMT,103.18000
55976,2019/04/22,WMT,102.37000
55976,2019/04/23,WMT,103.07000
55976,2019/04/24,WMT,103.53000
55976,2019/04/25,WMT,103.52000
55976,2019/04/26,WMT,101.53000
55976,2019/04/29,WMT,101.56000
55976,2019/04/30,WMT,102.84000
55976,2019/05/01,WMT,101.36000
55976,2019/05/02,WMT,101.15000
55976,2019/05/03,WMT,102.08000
55976,2019/05/06,WMT,102.46000
55976,2019/05/07,WMT,101.30000
55976,2019/05/08,WMT,100.30000
55976,2019/05/09,WMT,99.54000
55976,2019/05/10,WMT,101.91000
55976,2019/05/13,WMT,99.89000
55976,2019/05/14,WMT,100.29000
55976,2019/05/15,WMT,99.88000
55976,2019/05/16,WMT,101.31000
